OutraTecnologia,Linguagem,Depende
'Angular','JavaScript',True
'Angular.js','JavaScript',True
'ASP.NET','C#',False
'ASP.NET Core','C#',False
'ASP.NET','F#',False
'ASP.NET Core','F#',False
'Django','Python',True
'Drupal','PHP',True
'Express','JavaScript',True
'FastAPI','Python',True
'Flask','Python',True
'Gatsby','JavaScript',True
'jQuery','JavaScript',True
'Laravel','PHP',True
'React.js','JavaScript',True
'Ruby on Rails','Ruby',True
'Spring','Java',True
'Svelte','JavaScript',True
'Symfony','PHP',True
'Vue.js','JavaScript',True
'.NET Framework','C#',False
'.NET Core / .NET 5','C#',False
'.NET Framework','F#',False
'.NET Core / .NET 5','F#',False
'Apache Spark','SQL',False
'Apache Spark','Java',False
'Apache Spark','Python',False
'Apache Spark','Scala',False
'Apache Spark','R',False
'Cordova','JavaScript',True
'Cordova','HTML/CSS',True
'Flutter','Dart',True
'Keras','Python',True
'NumPy','Python',True
'Pandas','Python',True
'React Native','JavaScript',True
'TensorFlow','Python',False
'TensorFlow','C',False
'Torch/PyTorch','Python',False
'Torch/PyTorch','C++',False
'Android Studio','Java',False
'Android Studio','Kotlin',False
'Eclipse','Java',False
'IntelliJ','Java',False
'IPython/Jupyter','Python',False
'IPython/Jupyter','Julia',False
'NetBeans','Java',False
'PHPStorm','PHP',False
'PyCharm','Python',False
'RStudio','R',False
'RubyMine','Ruby',False
'Rider','C#',False
'Visual Studio','C#',False
'Webstorm','JavaScript',False
'Xcode','Swift',False
'Deno','JavaScript',True
'Unity 3D','C#',False
'Unreal Engine','C++',False
'Xamarin','C#',False
'Xamarin','F#',False
